round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,first_neuron
100,0.576093154552179,0.701298713684082,0.5605208650647595,0.7150838,relu,10,12
100,0.6719424048543492,0.6320346593856812,0.5575061348341475,0.7281192,relu,10,24
100,0.5294903681907819,0.7316017150878906,0.5355061703887065,0.74115455,relu,10,48
100,0.5876495221476534,0.6883116960525513,0.5515039004871077,0.7132216,relu,20,12
100,0.5524315723093041,0.7402597665786743,0.5514674441996456,0.74487895,relu,20,24
100,0.6058380394786983,0.7316017150878906,0.507990248598422,0.75977653,relu,20,48
100,0.6099568148712059,0.6666666865348816,0.5723461721862495,0.72998136,relu,30,12
100,0.5762111536868206,0.7142857313156128,0.5374868012673362,0.73743016,relu,30,24
100,0.6001749952118118,0.7272727489471436,0.521956456773108,0.76908755,relu,30,48
100,0.5187622577080995,0.7402597665786743,0.5609228667600195,0.72625697,elu,10,12
100,0.5041952889202993,0.7445887327194214,0.46906296406600284,0.75232774,elu,10,24
100,0.6658358367490562,0.7186146974563599,0.518363943646074,0.7635009,elu,10,48
100,0.5022978791684816,0.7705627679824829,0.4971927297292919,0.76536316,elu,20,12
100,0.5172902375330657,0.7316017150878906,0.48682942348263564,0.7635009,elu,20,24
100,0.611024340767881,0.7445887327194214,0.4677669629038379,0.7858473,elu,20,48
100,0.5321769915617905,0.7489177584648132,0.5087199176156987,0.75418997,elu,30,12
100,0.5041292356206225,0.7835497856140137,0.4862303344231078,0.7672253,elu,30,24
100,0.4922767738243202,0.7662337422370911,0.46077724808421217,0.7672253,elu,30,48
